client_id,date,responsavel_id,AUC
ad0001,6/1/2024,0001RP,"R$ 689,582.00"
be0002,6/1/2024,000000,"R$ 517,243.00"
cf0003,6/1/2024,000000,"R$ 606,094.00"
da0004,6/1/2024,0001RP,"R$ 775,145.00"
eb0005,6/1/2024,000000,"R$ 16,084.00"
fc0006,6/1/2024,000000,"R$ 546,567.00"
gg0007,6/1/2024,000000,"R$ 244,296.00"
hh0008,6/1/2024,0001LL,"R$ 644,822.00"
aa0009,6/1/2024,0001RP,"R$ 464,987.00"
bd0010,6/1/2024,0001RP,"R$ 658,300.00"
ce0011,6/1/2024,0001TR,"R$ 667,698.00"
df0012,6/1/2024,000000,"R$ 564,705.00"
ea0013,6/1/2024,000000,"R$ 623,620.00"
fb0014,6/1/2024,0001LM,"R$ 545,898.00"
gc0015,6/1/2024,000000,"R$ 821,613.00"
hg0016,6/1/2024,000000,"R$ 928,298.00"
ah0017,6/1/2024,0001RP,"R$ 447,520.00"
ba0018,6/1/2024,000000,"R$ 669,924.00"
cd0019,6/1/2024,000000,"R$ 23,636.00"
de0020,6/1/2024,0001LL,"R$ 630,666.00"
ef0021,6/1/2024,000000,"R$ 734,586.00"
fa0022,6/1/2024,0001JT,"R$ 142,742.00"
gb0023,6/1/2024,000000,"R$ 333,616.00"
hc0024,6/1/2024,0001RP,"R$ 13,423.00"
ag0025,6/1/2024,0001LM,"R$ 77,448.00"
bh0026,6/1/2024,000000,"R$ 754,812.00"
ca0027,6/1/2024,0001DM,"R$ 313,634.00"
dd0028,6/1/2024,000000,"R$ 509,138.00"
ee0029,6/1/2024,000000,"R$ 544,794.00"
ff0030,6/1/2024,0001TR,"R$ 264,096.00"
ga0031,6/1/2024,0001DM,"R$ 943,865.00"
hb0032,6/1/2024,000000,"R$ 184,367.00"
ac0033,6/1/2024,0001JT,"R$ 568,845.00"
bg0034,6/1/2024,000000,"R$ 247,492.00"
ch0035,6/1/2024,0001AG,"R$ 385,839.00"
da0036,6/1/2024,000000,"R$ 40,164.00"
ed0037,6/1/2024,0001DM,"R$ 852,687.00"
fe0038,6/1/2024,0001LL,"R$ 975,981.00"
gf0039,6/1/2024,000000,"R$ 911,725.00"
ha0040,6/1/2024,000000,"R$ 829,285.00"
ab0041,6/1/2024,000000,"R$ 26,318.00"
bc0042,6/1/2024,0001DM,"R$ 154,762.00"
cg0043,6/1/2024,0001TR,"R$ 926,587.00"
dh0044,6/1/2024,000000,"R$ 786,877.00"
ea0045,6/1/2024,000000,"R$ 632,774.00"
fd0046,6/1/2024,0001RP,"R$ 616,727.00"
ge0047,6/1/2024,0001RP,"R$ 512,328.00"
hf0048,6/1/2024,0001JT,"R$ 774,799.00"
aa0049,6/1/2024,0001DM,"R$ 237,773.00"
bb0050,6/1/2024,0001LM,"R$ 800,800.00"
cc0051,6/1/2024,0001LL,"R$ 169,612.00"
dg0052,6/1/2024,0001LM,"R$ 816,737.00"
eh0053,6/1/2024,0001TR,"R$ 85,031.00"
fa0054,6/1/2024,000000,"R$ 28,074.00"
gd0055,6/1/2024,0001JT,"R$ 158,685.00"
he0056,6/1/2024,000000,"R$ 350,096.00"
af0057,6/1/2024,0001LL,"R$ 577,211.00"
ba0058,6/1/2024,0001AG,"R$ 907,867.00"
cb0059,6/1/2024,000000,"R$ 894,283.00"
dc0060,6/1/2024,0001JT,"R$ 958,084.00"
eg0061,6/1/2024,000000,"R$ 647,786.00"
fh0062,6/1/2024,0001LL,"R$ 839,003.00"
ga0063,6/1/2024,0001RP,"R$ 60,396.00"
hd0064,6/1/2024,0001AG,"R$ 573,974.00"
ae0065,6/1/2024,0001LM,"R$ 523,261.00"
bf0066,6/1/2024,0001JT,"R$ 588,774.00"
ca0067,6/1/2024,0001LL,"R$ 148,573.00"
db0068,6/1/2024,000000,"R$ 985,733.00"
ec0069,6/1/2024,0001DM,"R$ 24,157.00"
fg0070,6/1/2024,0001LM,"R$ 566,932.00"
gh0071,6/1/2024,0001JT,"R$ 17,492.00"
ha0072,6/1/2024,000000,"R$ 982,727.00"
ad0073,6/1/2024,000000,"R$ 596,265.00"
be0074,6/1/2024,0001LL,"R$ 574,396.00"
cf0075,6/1/2024,0001AG,"R$ 163,356.00"
da0076,6/1/2024,0001LL,"R$ 12,659.00"
eb0077,6/1/2024,000000,"R$ 471,142.00"
fc0078,6/1/2024,0001JT,"R$ 536,811.00"
gg0079,6/1/2024,000000,"R$ 797,463.00"
hh0080,6/1/2024,000000,"R$ 46,910.00"
aa0081,6/1/2024,000000,"R$ 263,015.00"
bd0082,6/1/2024,000000,"R$ 683,968.00"
ce0083,6/1/2024,0001LL,"R$ 87,411.00"
df0084,6/1/2024,000000,"R$ 415,295.00"
ea0085,6/1/2024,0001TR,"R$ 991,162.00"
fb0086,6/1/2024,000000,"R$ 133,542.00"
gc0087,6/1/2024,000000,"R$ 694,899.00"
hg0088,6/1/2024,000000,"R$ 389,871.00"
ah0089,6/1/2024,0001LL,"R$ 22,024.00"
ba0090,6/1/2024,000000,"R$ 971,208.00"
cd0091,6/1/2024,0001JT,"R$ 818,707.00"
de0092,6/1/2024,0001DM,"R$ 987,819.00"
ef0093,6/1/2024,000000,"R$ 597,990.00"
fa0094,6/1/2024,000000,"R$ 136,997.00"
gb0095,6/1/2024,000000,"R$ 370,680.00"
hc0096,6/1/2024,0001LL,"R$ 414,323.00"
ag0097,6/1/2024,0001LL,"R$ 859,742.00"
bh0098,6/1/2024,0001RP,"R$ 929,126.00"
ca0099,6/1/2024,0001DM,"R$ 60,395.00"
dd0100,6/1/2024,000000,"R$ 710,241.00"
ee0101,6/1/2024,0001JT,"R$ 717,975.00"
ff0102,6/1/2024,0001LM,"R$ 465,318.00"
ga0103,6/1/2024,0001JT,"R$ 588,966.00"
hb0104,6/1/2024,000000,"R$ 191,489.00"
ac0105,6/1/2024,000000,"R$ 291,202.00"
bg0106,6/1/2024,000000,"R$ 455,831.00"
ch0107,6/1/2024,000000,"R$ 99,144.00"
da0108,6/1/2024,000000,"R$ 762,325.00"
ed0109,6/1/2024,000000,"R$ 32,748.00"
fe0110,6/1/2024,000000,"R$ 667,470.00"
gf0111,6/1/2024,0001LM,"R$ 408,235.00"
ha0112,6/1/2024,000000,"R$ 33,625.00"
ab0113,6/1/2024,0001JT,"R$ 222,287.00"
bc0114,6/1/2024,0001LM,"R$ 347,614.00"
cg0115,6/1/2024,0001LM,"R$ 897,784.00"
dh0116,6/1/2024,0001TR,"R$ 162,227.00"
ea0117,6/1/2024,000000,"R$ 619,902.00"
fd0118,6/1/2024,000000,"R$ 604,354.00"
ge0119,6/1/2024,000000,"R$ 402,692.00"
hf0120,6/1/2024,0001LL,"R$ 171,430.00"
aa0121,6/1/2024,0001TR,"R$ 275,310.00"
bb0122,6/1/2024,000000,"R$ 743,341.00"
cc0123,6/1/2024,000000,"R$ 339,960.00"
dg0124,6/1/2024,000000,"R$ 909,941.00"
eh0125,6/1/2024,0001LL,"R$ 748,475.00"
fa0126,6/1/2024,000000,"R$ 54,338.00"
gd0127,6/1/2024,0001LM,"R$ 435,640.00"
he0128,6/1/2024,0001DM,"R$ 940,281.00"
af0129,6/1/2024,000000,"R$ 67,856.00"
ba0130,6/1/2024,0001LM,"R$ 667,753.00"
cb0131,6/1/2024,0001AG,"R$ 727,348.00"
dc0132,6/1/2024,000000,"R$ 726,018.00"
eg0133,6/1/2024,000000,"R$ 787,150.00"
fh0134,6/1/2024,000000,"R$ 310,838.00"
ga0135,6/1/2024,000000,"R$ 229,651.00"
hd0136,6/1/2024,0001TR,"R$ 514,785.00"
ae0137,6/1/2024,0001AG,"R$ 884,951.00"
bf0138,6/1/2024,0001DM,"R$ 119,499.00"
ca0139,6/1/2024,0001DM,"R$ 380,357.00"
db0140,6/1/2024,0001LM,"R$ 485,644.00"
ec0141,6/1/2024,000000,"R$ 117,292.00"
fg0142,6/1/2024,000000,"R$ 161,218.00"
gh0143,6/1/2024,000000,"R$ 385,200.00"
ha0144,6/1/2024,000000,"R$ 581,816.00"
ad0145,6/1/2024,000000,"R$ 758,829.00"
be0146,6/1/2024,0001RP,"R$ 272,524.00"
cf0147,6/1/2024,0001JT,"R$ 868,227.00"
da0148,6/1/2024,000000,"R$ 888,519.00"
eb0149,6/1/2024,0001AG,"R$ 502,308.00"
fc0150,6/1/2024,000000,"R$ 904,942.00"
gg0151,6/1/2024,0001AG,"R$ 668,280.00"
hh0152,6/1/2024,000000,"R$ 662,280.00"
aa0153,6/1/2024,000000,"R$ 854,577.00"
bd0154,6/1/2024,0001LL,"R$ 699,911.00"
ce0155,6/1/2024,0001DM,"R$ 224,911.00"
df0156,6/1/2024,0001LL,"R$ 346,027.00"
ea0157,6/1/2024,000000,"R$ 778,138.00"
fb0158,6/1/2024,000000,"R$ 527,124.00"
gc0159,6/1/2024,000000,"R$ 834,989.00"
hg0160,6/1/2024,000000,"R$ 541,110.00"
ah0161,6/1/2024,000000,"R$ 793,184.00"
ba0162,6/1/2024,0001DM,"R$ 766,794.00"
cd0163,6/1/2024,0001TR,"R$ 889,971.00"
de0164,6/1/2024,0001JT,"R$ 663,920.00"
ef0165,6/1/2024,000000,"R$ 761,683.00"
fa0166,6/1/2024,000000,"R$ 361,350.00"
gb0167,6/1/2024,0001TR,"R$ 777,042.00"
hc0168,6/1/2024,000000,"R$ 754,647.00"
ag0169,6/1/2024,0001LL,"R$ 840,970.00"
bh0170,6/1/2024,0001LL,"R$ 62,235.00"
ca0171,6/1/2024,000000,"R$ 923,732.00"
dd0172,6/1/2024,000000,"R$ 200,025.00"
ee0173,6/1/2024,0001TR,"R$ 791,708.00"
ff0174,6/1/2024,0001LM,"R$ 17,324.00"
ga0175,6/1/2024,000000,"R$ 359,278.00"
hb0176,6/1/2024,000000,"R$ 745,288.00"
ac0177,6/1/2024,0001TR,"R$ 244,716.00"
bg0178,6/1/2024,0001TR,"R$ 109,467.00"
ch0179,6/1/2024,0001TR,"R$ 82,723.00"
da0180,6/1/2024,000000,"R$ 256,731.00"
ed0181,6/1/2024,000000,"R$ 925,496.00"
fe0182,6/1/2024,000000,"R$ 334,663.00"
gf0183,6/1/2024,0001TR,"R$ 550,988.00"
ha0184,6/1/2024,0001TR,"R$ 275,495.00"
ab0185,6/1/2024,0001DM,"R$ 955,368.00"
bc0186,6/1/2024,000000,"R$ 59,776.00"
cg0187,6/1/2024,0001LM,"R$ 883,005.00"
dh0188,6/1/2024,000000,"R$ 941,269.00"
ea0189,6/1/2024,0001JT,"R$ 207,458.00"
fd0190,6/1/2024,000000,"R$ 529,245.00"
ge0191,6/1/2024,0001RP,"R$ 266,052.00"
hf0192,6/1/2024,0001AG,"R$ 332,076.00"
aa0193,6/1/2024,000000,"R$ 937,621.00"
bb0194,6/1/2024,0001JT,"R$ 725,897.00"
cc0195,6/1/2024,0001DM,"R$ 268,377.00"
dg0196,6/1/2024,0001DM,"R$ 557,471.00"
eh0197,6/1/2024,0001LL,"R$ 441,144.00"
fa0198,6/1/2024,0001TR,"R$ 444,213.00"
gd0199,6/1/2024,000000,"R$ 682,582.00"
he0200,6/1/2024,000000,"R$ 262,116.00"
